,id,modifierName,posDisplayName,price,multiSelect,parentModifierId,isNested,addNested,isOptional,stockStatus,modifierOptionPriceType,canGuestSelectMoreModifiers,minSelector,maxSelector,noMaxSelection,isSizeModifier,prefix,pizzaSelection,limitIndividualModifierSelection,offPrem,onPrem
0,1.0,Protein Choice,,,,,,,False,,,,,,,,,,,,
7,2.0,Add-Ons,,,,,,,True,,,,,,,,,,,,
19,3.0,Recommended Sides And Apps,,,,,,,True,,,,,,,,,,,,
24,4.0,Recommended Beverages,,,,,,,True,,,,,,,,,,,,
172,5.0,Sour Cream Options,,,,,,,True,,,,,,,,,,,,
174,6.0,Cheese Options,,,,,,,True,,,,,,,,,,,,
176,7.0,Salsa Options,,,,,,,True,,,,,,,,,,,,
178,8.0,Bean Options,,,,,,,True,,,,,,,,,,,,
180,9.0,Rice Options,,,,,,,True,,,,,,,,,,,,
182,10.0,Cabbage Mix Options,,,,,,,True,,,,,,,,,,,,
184,11.0,Pico De Gallo Options,,,,,,,True,,,,,,,,,,,,
208,12.0,Soda Choice,,,,,,,False,,,,,,,,,,,,
269,13.0,Remove Options,,,,,,,True,,,,,,,,,,,,
284,14.0,Jarritos Flavor,,,,,,,False,,,,,,,,,,,,
450,15.0,Avocado Options,,,,,,,True,,,,,,,,,,,,
